Name;Muscle Group;Detailed Muscle Group;Other Muscle Groups;Type;Mechanics;Equipment;;
T Bar Row;Back;Traps;Biceps;Strength;Compound;Barbell;Intermediate;The T-Bar Row exercise is good for helping build strength and the major muscles of your back. Steps : 1.) Start off by placing your feet at each side of the T-Bar Machine, keeping your knees slightly bent, abs tight and grabbing the handles of the machine with a narrow grip. 2.) Slowly bend at your waist so that your torso is almost parallel with the floor as this will be your starting position. 3.) From this position, pull the bar up towards your chest in a slow and controlled manner and continue for as high as you are able to. 4.) Once you reach the top position, hold for a count, squeezing your back muscles and return back to the starting position. Tips : 1.) While performing this exercise keep your elbows close to your body.
Table Pose;Abs;null;Back , Shoulders;Stretching;Compound;Body Only;Intermediate;Steps : 1.) Start off by sitting on the floor with your palms placed firmly on the ground behind you 2.) Then take your hands and walk them away from your glutes and lift your hips up in the process. 3.) Continuously lift up your hips and push your chest straight up to the ceiling. 4.) Your knees and head should be horizontally at level in the final position like a table. 5.) Hold for 5 to 10 breaths and return back to the starting position.
Three Bench Dip;Triceps;null;Chest , Shoulders;Strength;Compound;Bench;Intermediate;Steps : 1.) Start by setting up 3 benches, one horizontally in front of you and two vertically positioned at your sides for this exercise. 2.) Place your hands at the end of the two vertical benches while your feet are extended out and heels are resting in the middle of the horizontal bench. 3.) Push up with your arms so that your body is elevated and arms straight, then slowly lower your body down until your elbows are at shoulder level and hold for a count. 4.) Return back to the starting position.
Toe Touch Stretch;Upper Legs;null;Lower Legs;Stretching;N/A;Body Only;Beginner;Steps : 1.) Start by standing up straight with your feet hip-width apartr and arms by your side. 2.) Slowly bend at your waist, keeping a slight bend in your legs straight, and let your body hang down in front of you, hands reaching down towards the ground. 3.) Hold onto this position for 15 to 30 seconds then return back to the start. 4.) Repeat for as many reps, sets and however long you desire.
Toe Touches;Abs;Shoulders;null;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start off lying down with your back flat on an exercise mat or the floor, your arms lying across your sides with palms facing down and legs touching each other as this is your starting position. 2.) Slowly raise your legs till they are pointing in the air and then move your arms out so that they are fully extended at a 45-degree angle 3.) Make sure to keep your back flat on the floor, touching your toes with your fingers and squeezing your abdominals in the motion. 4.) Repeat for desired sets and repetitions.
Towel Tricep Extension;Triceps;null;null;Strength;Isolation;Others;Beginner;The standing towel triceps extension is an exercise that requires a partner and uses manual resistance or your body's own weight to build the tricep muscle Steps : 1.) Start by standing with your feet shoulder width apart, your back straight and your abs drawn in. 2.) Hold a towel or rope facing up behind and in back of your head. 3.) Have a partner hold the towel tight during the exercise so the resistance is constant. 4.) Lower your forearms down until they reach your biceps, then slowly raise your arms back up to starting position. 5.) Repeat for as many reps and sets as desired.
Treadmill Running;Cardio;null;null;Cardio;Isolation;Machine - Cardio;Beginner;Treadmill running, just like regular running, uses the treadmill exercise equipment to burn calories, tone the body, increase stamina and endurance and is one of the most common forms of cardio exercises
Triangle Pose;Abs;null;Back , Upper Legs;Stretching;Compound;Body Only;Intermediate;Steps : 1.) Start off by standing up straight and keeping your spine erect. 2.) Step laterally with your left foot until your feet are about 3 feet apart and keep your left foot at a 90 degree angle to the front foot. 3.) Take your right foot and turn it to the front, lifting your arms to shoulder level and side bending to the right. 4.) Reach up with your left hand while your right hand rests on your right foot, creating a vertical line from the top of your left hand to your right foot. 5.) Hold this position for 5 to 10 breaths and return back to the starting position.
Tricep Push-Up;Triceps;Lower Chest;Chest;Strength;Isolation;Body Only;Intermediate;The close triceps pushup exercise is a version of the push up that isolates the tricep muscles. Steps : 1.) Start by kneeling down on the floor or a mat, placing your hands with thumbs together and raise your body up on your toes. 2.) Draw your abs in and keep your back and neck in a straight line. 3.) Slowly lower your body towards the floor until you are nearly touching the ground. 4.) In a controlled manner raise your body back up to the starting position. 5.) Repeat for as many reps and sets as desired.
Tricep Pushdown V Bar;Triceps;Upper Chest;null;Strength;Isolation;Machine - Strength;Beginner;The triceps pushdown v-bar exercise uses the v-shaped bar to target the tricep muscle and build bigger arms. Steps : 1.) Start by standing in front of a cable machine and attaching a v-bar attachment to a high pulley. 2.) Grab onto the v-bar with an overhand (palms facing down) grip, keeping your abs drawn in tightly and back straight as this will be your starting position. 3.) Making sure that you keep your elbows in at your sides and push the bar straight down towards your thighs, until you feel a stretch in your tricep muscle. 4.) Hold this position for a count, isolating the tricep and then return back to the start. 5.) Repeat for as many reps and sets as desired. Tips : 1.) You are able to place one foot in front of the other for a better stance.
Tricep Side Stretch;Triceps;null;Shoulders;Stretching;N/A;Body Only;Beginner;Steps : 1.) Start by standing up straight with your feet shoulder width apart and your arms rested at your sides. 2.) Then bring your right arm across your body and above your left shoulder. 3.) With your opposite left hand, hold the elbow of your right arm until you feel a stretch in your tricep, holding for about 15 to 30 seconds. 4.) Return back to the starting position and repeat for as many sets and however long you desire.
Tricep Stretch;Triceps;null;Triceps , Shoulders;Stretching;Compound;Body Only;Beginner;Steps : 1.) Stand straight up with your arms at your sides and feet close together. 2.) Reach up with both hands and extend them up and behind your head. 3.) Then with one of the hands, reach over and press upon the other hand, feeling an extension and stretch in your triceps. 4.) Hold onto this stretch for 15 to 30 seconds and repeat with the opposite arm.
Tuck Crunch;Abs;Lower Abs;null;Strength;Isolation;Body Only;Beginner;Steps : 1.) Start by lying down with your back on the floor or an exercise mat, with your arms lying across your sides and palms facing down. 2.) Once in position cross your legs at your ankles and slowly elevate your legs up in the air until your thighs are perpendicular to the floor. 3.) Next cross your arms on your chest as if you were doing sit ups and perform crunches while maintaining your leg position. 4.) Repeat for as many reps and sets as desired.
Turtle Pose;Abs;null;Back , Glutes;Stretching;Compound;Body Only;Beginner;Steps : 1.) Start of by resting on your hands and knees and keeping your knees beneath your hips. 2.) Using your glutes sit back slowly onto your heels and lower your forehead down to the floor, placing your arms beside your body right next to your feet. 3.) Hold this position for 5 to 10 breaths and return back to the starting position.
